Ability,Tier,Type,Cost,Rules,Domains
Quick Draw,I,Passive,—,"Drawing, swapping or sheathing weapons never requires your Minor Action.","War, Freedom, Zeal, Metal, Craft, Passion"
Battle Rhythm,I,Passive,—,Gain Advantage on your first Attack Roll of combat.,"War, Glory, Storms, Wrath, Valor, Vengeance"
Ocean's Breath,I,Passive,—,You can breathe under water. Gain Advantage on swimming checks.,"Oceans, Water, Life, Travel, Frost, Nature"
Child of Flame,I,Passive,—,Mundane fire and extreme heat never cause Fatigue or discomfort.,"Fire, Sun, Light, Creation, Destruction, Hearth"
Child of Frost,I,Passive,—,Mundane cold never causes Fatigue or discomfort.,"Frost, Water, Oceans, Darkness, Protection, Shadow"
Grave Sense,I,Passive,—,"Automatically sense nearby undead, ghosts and lingering souls within roughly 30 metres.","Death, Souls, Spirit, Shadow, Twilight, Secrets"
Seeds of Renewal,I,Passive,—,"You can spend 4 hours meditating on a place to make plants bloom, fruit grow, and natural environment heal for 50m radius around you.","Growth, Renewal, Nature, Life, Harvest, Earth"
Bloodhound,I,Passive,—,"Once you've seen a creature bleed, gain Advantage on all attempts to track it until it finishes a long rest.","Blood, Hunt, Wilderness, Vengeance, Death, Beasts"
Builder's Eye,I,Passive,—,"Identify structural weaknesses, hidden entrances and collapse points in buildings/caves after one minute of study.","Creation, Craft, Civilization, Earth, Metal, Knowledge"
Voice of Authority,I,Passive,—,"Gain Advantage on checks made to organize crowds, command guards or maintain order outside combat.","Law, Nobility, Order, Civilization, Justice, War"
Traveler's Luck,I,Passive,—,Get advantage on any rolls to travel through difficult terrain/long arduous roads. Additionally get aadvantage on any checks made to resist being moved against your will,"Travel, Fortune, Luck, Fate, Freedom, Air"
Moonlit Vision,I,Passive,—,Natural darkness under moonlight counts as bright light for you.,"Moon, Twilight, Shadow, Darkness, Sky, Hunt"
Gilded Pedigree,I,Passive,—,"You instantly recognize the sigils, houses, and financial backing of anyone presenting themselves as nobility or wealthy elite. You gain Advantage on checks made to spot high-society imposters or to leverage your own perceived status during formal galas and courtly intrigue.","Trade, Wealth, Knowledge, Civilization, Fortune, Luck"
Kindled Spirit,I,Passive,1 PotD,"Once per short rest when you succeed on a Saving Throw against fear, charm or compulsion, recover 1 PotD.","Zeal, Passion, Will, Light, Fire, Strength"
Bearer of Hope,I,Passive,—,"Allies within conversation distance gain Advantage on Saving Throws against despair, surrender and hopelessness.","Mercy, Peace, Light, Life, Love, Protection"
Sure Climber,I,Passive,—,Gain Advantage on climbing checks. Climbing no longer costs double movement unless the surface is nearly vertical and smooth.,"Earth, Freedom, Wilderness, Strength, Travel, Beasts"
Battlefield Medic,I,Passive,—,You may attempt Medicine checks to stabilize/treat a creature as a Minor Action instead of a Major Action.,"Healing, War, Mercy, Life, Blood, Peace"
Steady Hands,I,Passive,—,"Gain Advantage on checks requiring careful manual precision such as lock mechanisms, surgery or delicate craftsmanship.","Craft, Wisdom, Knowledge, Metal, Creation, Beauty"
One With Darkness,I,Passive,—,Creatures have Disadvantage to detect you by sight while you remain motionless in darkness.,"Darkness, Shadow, Secrets, Moon, Twilight, Death"
Sacred Presence,I,Passive,—,Mundane darkness within 2 metres of you is softly illuminated. Allies recognize you instinctively even through disguises.,"Light, Sun, Glory, Fire, Protection, Life"
Natural Forager,I,Passive,—,"Gain Advantage on Survival checks made to locate food, fresh water or medicinal herbs.","Harvest, Nature, Wilderness, Growth, Life, Hunt"
Unbreakable Will,I,Reaction,1 PotD,"Whenever you fail a Saving Throw against fear or charm, you may spend 1 PotD to reroll it.","Will, Zeal, Wisdom, Strength, Valor, Order"
Ritual Adept,I,Passive,—,Any Ritual you assist with requires half the normal casting time.,"Magic, Knowledge, Spirit, Time, Creation, Secrets"
Ancestor's Guidance,I,Passive,—,Once per day ask the GM one yes-or-no question representing guidance from ancestral spirits. The answer must be truthful but may be cryptic.,"Souls, Death, Wisdom, Knowledge, Spirit, Fortune, Time, Fate"
Voice of the Crowd,I,Passive,—,"After spending ten minutes among a crowd, you gain Advantage on checks to gather rumors or identify influential locals.","Civilization, Love, Trade, Secrets, Deception, Trickery"
Wrathful Presence,I,Passive,—,"Whenever combat begins, creatures who have already seen you fight recognize your dangerous reputation. The GM may rule weak-willed enemies hesitate before engaging you.","Wrath, War, Passion, Valor, Vengeance, Strength"
Sacred Craftsman,I,Passive,—,Repairing mundane equipment requires half the normal materials and time.,"Creation, Craft, Hearth, Metal, Earth, Civilization"
Keeper of Secrets,I,Passive,—,"Gain Advantage on checks made to conceal information, hidden compartments or secret messages.","Secrets, Deception, Knowledge, Trickery, Shadow, Darkness"
Nature's Comfort,I,Passive,—,"Sleeping outdoors counts as sleeping in comfortable conditions for recovering Fatigue/Wounds, provided the environment is not supernatural/specifically dangerous","Nature, Growth, Hearth, Wilderness, Life, Peace"
Living Compass,I,Passive,—,You always know approximately how much time has passed since sunrise and sunset and the shortest route back to any place you last came from.,"Travel, Time, Sky, Moon, Air, Knowledge"
Divine Presence,I,Passive,—,Mortals inherently recognize your divine nature. You gain Advantage on Charisma checks against mortals of Scale 1 or lower who are not actively hostile toward you.,"Nobility, Peace, Beauty, Glory, Love"
Echo of the Forge,I,Minor Action,—,"Inspect an item, passage, structure, or object and gain advantage on any checks to determine if it has been actively or magically tampered with or changed in the last week","Craft, Metal, Hearth, Wealth, Secrets"
Grasping Roots,I,Passive,—,"You ignore difficult terrain in natural environments (forests, swamps, rocky crags). Additionally, you have Advantage on checks made to resist being moved or Tripped while standing on natural earth.","Nature, Wilderness, Earth, Growth"
Stare Icy Daggers,I,Major Action,—,Emanate a chilling dread. Target a mortal of Scale 1 or lower within Close range. They must pass a Wisdom save or lose their Minor Action on their next turn due to shivering fear (Daze).,"Frost, Death, Void, Shadow, Souls"
Silver Tongue,I,Passive,—,"You can seamlessly weave minor enchantments into your speech. Once per short rest, if you are caught in a lie, you may immediately reroll the deception check, provided you incorporate a half-truth into the new statement.","Deception, Trickery, Secrets, Trade, Chaos"
Unyielding Will,I,Reaction,—,"Once per short rest, when an attack against you beats your defence by 15-19, you suffer the 2 Wounds but may choose to ignore the Incapacitated condition.","Will, Strength, Valor, Protection, Zeal"
Water Weaver,I,Major Action,—,"Manipulate up to 10 litres of water per turn, freezing or shaping it into simple tools (a key, a dagger, a cup) that last for 10 minutes before melting or losing shape.","Water, Oceans, Craft, Magic"
Foresight,I,Passive,—,"You constantly perceive echoes of the immediate future. You cannot be surprised in combat, and you may spend 2 PotD to give one attack disadvantage. You can use this feature once per short rest","Time, Fate, Fortune, Wisdom"
Impossible Lineage I,I,Passive,—,Choose one non-combat skill. You automatically succeed at mundane tasks involving it unless dramatically impossible.,"Knowledge, Creation, Civilization, Wisdom, Craft"
Divine Good,I,Passive,—,Mortals naturally assume you are sent by your divine parent. Gain Advantage on first impressions unless acting against their interests.,"Glory, Love, Civilization, Valor, Zeal"
River's Memory,I,Passive,—,"By touching flowing water you witness echoes of the last hour that occurred there. Never perfect, always symbolic.","Water, Time, Knowledge, Fate, Secrets"
Hero's Landing,I,Passive,—,Ignore all mundane fall damage under 20m and always land standing.,"Air, Sky, Strength, Glory, Freedom"
Hearth Watcher,I,Passive,—,Camps you oversee cannot be surprised by natural predators or weather.,"Hearth, Protection, Civilization, Peace, Fire"
Voice of Kings,I,Passive,—,Gain Advantage when commanding crowds during emergencies.,"Glory, Valor, Civilization, Order, Wisdom"
Relic Sense,I,Passive,—,Sense divine artifacts or sacred places within 100m.,"Magic, Knowledge, Secrets, Creation, Fortune"
The miracle fix,I,Minor Action,1 PotD,Instantly repair a mundane object no larger than a cart.,"Creation, Craft, Metal, Earth, Knowledge"
Light traveler,I,Passive,—,"Ignore difficult terrain caused by plants, sand or snow.","Air, Travel, Nature, Freedom, Sky"
Honest Weight,I,Passive,—,"You instantly know whether someone is lying through omission or hidden burden, but not the truth itself.","Wisdom, Balance, Justice, Knowledge, Secrets"
Blessed Appetite,I,Passive,—,You never suffer illness from spoiled food or water.,"Life, Renewal, Earth, Harvest, Protection"
Sacred Flame,I,Minor Action,1 PotD,Ignite or extinguish non-magical flames within Near range.,"Fire, Light, Creation, Hearth, Renewal"
Divine Echo,I,Passive,—,Perfectly remember any conversation heard within the last month.,"Knowledge, Wisdom, Secrets, Time, Memory"
Shepherd of Souls,I,Passive,—,"You gain advantage on interactions with ghosts, spirits and undead, and can ask one truthfully answered question per day.","Death, Mercy, Peace, Fate, Secrets"
Weightless Burden,I,Passive,—,Carry twice your normal capacity without slowing.,"Strength, Earth, Travel, Protection, Glory"
Storm Nose,I,Passive,—,Predict weather 24 hours in advance with near-perfect accuracy.,"Storms, Sky, Air, Knowledge, Nature"
Everlasting Prime,I,Passive,—,"Your physical body does not show signs of aging, weariness, or decay. You always look like you are in the peak of your youth, and you recover from minor physical fatigue twice as fast.","Youth, Life, Beauty, Renewal, Healing, Protection"
Plaguebearer's Resilience,I,Passive,—,"You are completely immune to all mundane diseases, contagions, and parasites. You can instinctively identify the source of any infection or plague within Near range.","Plague, Blood, Ruin, Death, Protection, Wilderness"
Melodic Echo,I,Passive,—,"You can perfectly replicate any sound, instrument tune, or voice you have heard within the past week. You gain Advantage on performance checks involving singing or playing musical instruments and immitating other voices.","Music, Passion, Beauty, Civilization, Freedom, Chaos"
Aura of Ruin,I,Passive,—,"Non-magical, unattended mundane items made of wood, cloth, or leather decay and become brittle or ruined three times as fast when left in your continuous personal possession for over an hour. Additionally you can spend one PotD to instantly destroy a handheld non magical item.","Ruin, Destruction, Void, Time, Chaos"
Font of Innocence,I,Passive,—,"Children and young animals are instinctively drawn to you and trust you completely. Unless caught in a flagrant act of aggression, NPCs assume you are an innocent bystander rather than a threat.","Youth, Growth, Life, Deception, Trickery, Peace, Mercy"
Somnambulist's Step,I,Passive,—,"You can move at your normal speed while naturally asleep without tripping, falling, or striking obstacles. As long as you are navigating along a safe, familiar path, you can travel entirely by instinct.","Dreams, Travel, Void, Fate, Protection, Twilight"
Dirge of the Departed,I,Passive,—,"When you sing or play a mournful melody, lingering spirits, ghosts, and undead within 30 metres become calm and passive unless directly attacked. You can additionally attempt to coerce a spirit to move on to their atual rest by making a succesful performance check(DM's discretion)","Music, Death, Souls, Spirit, Shadow, Secrets"
Blighted Touch,I,Minor Action,1 PotD,"Your touch accelerates spoilage. With a Touch you can instantly spoil a week's worth of rations, sour a keg of wine, or cause a small puddle of water to become completely unpotable and disease-ridden. Anyone consuming items tainted by you gains 1 point of Fatigue instead of nourishment.","Plague, Ruin, Water, Oceans, Trickery, Deception, Blood"
Null Footstep,I,Passive,—,"You leave no footprints, scent, or heat signature behind when moving through barren, empty, or desolate terrain (such as deserts, salt flats, or rocky voids).","Void, Wilderness, Shadow, Secrets, Air, Sky"
Shatterpoint,I,Minor Action,1 PotD,"Your eyes flash and you point to an unattended mundane object no larger than a wooden chest, instantly sundering it or cleanly breaking its locks, hinges, or joints.","Destruction, Ruin, Craft, Metal, Earth, Strength"
Arbitrator's Gaze,I,Passive,—,"You gain Advantage on Insight and Investigation checks made to determine if a written contract or verbal agreement has been violated, or contains hidden, deceptive loopholes.","Law, Order, Justice, Nobility, Knowledge, Civilization, Wisdom"
Bloodline Heraldry,I,Passive,—,"By looking at two mortals simultaneously, you can instinctively recognize if they share a direct blood relation. You gain Advantage on checks regarding noble lineages and historical genealogies.","Blood, Nobility, Civilization, Knowledge, Time, Life"
Expert Appraiser,I,Passive,—,"You instantly determine the exact market value, material purity, and authenticity of any currency, gemstone, or precious metal. Merchants respect your gaze, giving you Advantage on trade negotiations.","Wealth, Trade, Fortune, Luck, Metal, Civilization"
Eye of the Storm,I,Passive,—,"Torrential rain, gale-force winds, and snowstorms do not impose Disadvantage on your physical or ranged attack rolls. You always remain completely dry in light rain unless you choose otherwise.","Storms, Sky, Air, Water, Protection, Oceans"
Righteous Retribution,I,Reaction,—,"Once per short rest, when an enemy scores a critical hit against you or an ally within Near range, your next attack roll against that specific enemy gains Advantage.","Vengeance, Wrath, War, Valor, Justice, Passion"
Aesthetic Grace,I,Passive,—,"Your physical presence and artistic movements are uniquely captivating. You gain Advantage on Charisma checks to persuade or charm individuals who appreciate fine arts, fashion, music, or beauty, or when putting on a perormance in which you are proficient","Beauty, Love, Passion, Music, Nobility, Civilization"
Scales of Equity,I,Passive,—,"When performing tasks requiring precise mathematical division (like splitting loot, rations, or measuring weights), you do so flawlessly and instantly. Additionally you have advantage on any checks regarding a city/persons finances or economy.","Balance, Order, Law, Justice, Trade, Wealth"
Solar Radiance,I,Minor Action,1 PotD,Emit a sudden flash of brilliant solar light. Enemies within Close range must succeed on a Con save or suffer Disadvantage on their next physical attack roll due to being dazzled.,"Sun, Light, Sky, Fire, Glory, Destruction"
Chilling Grasp,I,Passive,—,"Your touch can sap heat rapidly. You can instantly freeze up to a cup of water, preserve perishable food from spoiling for twice as long, or coat a handheld object in thin, non-magical frost.","Frost, Water, Oceans, Darkness, Shadow, Hearth"
Scythe of the Harvest,I,Passive,—,"When clearing crops, harvesting flora, or chopping wood, you do so at triple the normal speed. You can instantly tell if a plant or crop is poisonous, diseased, or perfectly ripe by touching it.","Harvest, Nature, Growth, Earth, Death, Ruin"
Gambler's Favor,I,Passive,—,"You always win mundane games of pure chance (like coin flips or simple dice rolls) against ordinary mortals, unless they use cheating mechanisms or magical intervention.","Luck, Fortune, Fate, Trickery, Deception, Wealth, Chaos"
Verdant Springtime,I,Passive,—,"Withered, dead, or diseased plants slowly revive and grow healthy if left within your personal living quarters or camp over a short rest. Small flowers sprout in your footsteps when you travel through fertile soil. Spending extended time in the same place makes the flora grow expansively","Youth, Growth, Renewal, Nature, Life, Harvest"
Contagious Phobia,I,Passive,—,"Your presence acts like a psychological contagion. When a mortal within Near range fails a save against fear or intimidation, any ally standing adjacent to them must immediately roll their next fear save with Disadvantage.","Plague, Wrath, Vengeance, Will, Secrets, Darkness"
Harmonic Resonance,I,Passive,—,"The rhythm of your footsteps can sync with ambient sounds. While an instrument is being played or you are actively humming a tune, you and allies within conversation distance gain Advantage on checks made to march or travel long distances without getting fatigued.","Music, Travel, Peace, Freedom, Civilization"
Void Shield,I,Passive,—,"Your thoughts are an empty, silent abyss. You are completely immune to non-magical attempts to read your posture, expressions, or intentions, and you have advantage on checks against magical attempts to read your mind.","Void, Secrets, Will, Deception, Shadow, Darkness"
Vandal's Glee,I,Passive,—,"Your physical attacks and tools/weapons deal double structural damage to inanimate barricades, doors, walls, gates, and fortifications.","Ruin, Destruction, War, Strength, Metal, Earth"
Nightmare Stallion,I,Passive,—,"Mundane riding beasts and predators exhibit an unsettling dread when you look into their eyes. They will never willingly attack you unless forced, and you can ride them through terrifying conditions without them panicking.","Dreams, Beasts, Wilderness, Hunt, Shadow, Darkness"
Juvenile Vitality,I,Passive,—,"When you successfully stabilize or treat a creature's wounds, their physical appearance temporarily becomes rejuvenated, clearing up minor blemishes and dirt and making them appear in their absolute prime youth for the next 24 hours.","Youth, Growth, Life, Renewal, Healing, Beauty"
Unyielding Judgment,I,Passive,—,"When you witness a creature flagrantly breaking a local law, decree, or solemn oath, your righteous anger flares. You gain Advantage on your first Intimidation or Attack roll against that creature within the hour.","Law, Order, Justice, Wrath, Vengeance, Will"
Miasmic Touch,I,Passive,—,"By touching a mortal creature, you can induce a mild, brief fever or bout of coughing that lasts for 10 minutes. While it causes no mechanical combat penalties, it makes them look visibly unwell and sluggish.","Plague, Ruin, Destruction, Blood, Chaos"
Dawn's Rejuvenation,I,Passive,—,"The moment the first rays of the morning sun touch your skin, you feel an instant rush of vigor. Once per day at dawn, you can instantly clear one point of Fatigue OR one Wound without resting.","Sun, Light, Youth, Growth, Hearth, Renewal, Life"
Scavenger's Palette,I,Passive,—,"You can safely consume entirely spoiled, putrid, or insect-infested food and diseased carcass material that would normally incapacitate or poison a mortal. You derive full nourishment from it and suffer no ill effects.","Plague, Death, Hunt, Beasts, Wilderness, Blood"
Fire Fingers,I,Free,1 PotD,"Light your hand with a small flame, providing dim light within Close range and the ability to slowly ignite tinder, burn through thin ropes, or warm a small meal without burning yourself.","Fire, Light, Hearth, Magic"
Spectral Hand,I,Minor Action,—,"Manifest a floating, translucent hand to safely manipulate, push, pull, or carry objects up to 10 lbs within Medium range for the duration of a scene.","Magic, Souls, Spirit, Trickery"
Earth Sculpt,I,Major Action,—,"Instantly mold a small patch of loose dirt, sand, or clay into simple shapes, or completely clear a small 5-meter campsite of uncomfortable debris and rocks.","Earth, Craft, Creation, Nature"
Breath of the Sky,I,Reaction,—,"Arrest a dangerous fall. You immediately lose your downward momentum and float gently to the ground, taking no fall damage.","Air, Sky, Travel, Freedom, Magic"
Threads of Fate,I,Free,1 PotD,"A subtle visual shimmer or intuitive tug gently guides you toward the very next step of your immediate quest, acting as a momentary, mystical compass to your objective.","Fate, Luck, Travel, Secrets"
Whispers of the Wild,I,Minor Action,—,"The rustling leaves, wind currents, and ambient animal calls subconsciously direct you toward the nearest source of safe drinking water, natural shelter, or edible forage.","Nature, Beasts, Hunt, Wilderness"
Spark of creation,I,Downtime,2 PotD,"As part of a ritual consisting of you creating a small object, you may increase  the value of the item x5 without the excess material components","Knowledge, Craft, Renewal, Magic"
Aura of Grace,I,Passive,—,"Hostile creatures with low intelligence or animalistic instincts will instinctively hesitate, preventing them from targeting you first during the opening round of a combat encounter unless provoked.","Beauty, Peace, Protection"
Burst of Vigor,I,Reaction,1 PotD,"When attempting a Strength check to lift, break, or force open a mundane object, you may instantly channel divine energy to add a flat +5 to your final check result.","Strength, Valor, Glory, Will, Zeal"
Water's Edge,I,Minor Action,—,"Touch a single container of water (up to a waterskin or small bucket in size) and completely purify it, instantly removing all natural poisons, dirt, and diseases.","Water, Oceans, Life, Hearth"
Shadow Cloak,I,Reaction,1 PotD,"Instantly snuff out all non-magical flames within a 10-meter radius of yourself, shrouding the immediate area in total darkness.","Shadow, Darkness, Trickery, Void, Secrets"
Iron Grip,I,Passive,—,"Your grip strength is supernaturally reinforced. You cannot be forcibly disarmed of your weapon, shield, or an object you are holding by any mundane, non-magical means.","Metal, Strength, Will, Earth, Valor"
Beast's Tongue,I,Major Action,—,"Communicate a single, simple concept or question to a non-magical animal and receive a basic emotional response or a one-word conceptual answer in return.","Beasts, Nature, Secrets, Wilderness, Knowledge"
Clockwork Mind,I,Passive,—,"You always know the exact time of day, the cardinal directions, and exactly how many hours remain until the next sunrise or sunset, even while deep underground or blinded.","Time, Knowledge, Order, Wisdom"
Frost Ward,I,Passive,—,"You are completely immune to the negative environmental effects of extreme cold weather and snow blindness, though you still take cold damage from direct attacks normally.","Frost, Wilderness, Protection, Travel"
Trickster's Coin,I,Minor Action,1 PotD,"Make a small handheld object (like a coin, gem, or key) appear and feel exactly like a different object of similar size and weight for up to one hour.","Trickery, Wealth, Deception, Magic"
Scent of Blood,I,Passive,—,"You can track the presence of actively bleeding or injured creatures (suffering a Bloodied wound or worse) within a 30-meter radius, even through solid walls.","Blood, Hunt, Beasts, Death, Wrath"
Minor mend,I,Major Action,1 PotD,"Magically repair a single tear, break, or fracture in a mundane, non-magical object that fits in the palm of your hand, completely restoring its physical integrity.","Creation, Craft, Magic, Hearth, Renewal"
Echoes of the Past,I,Major Action,2 PotD,"Touch an inanimate object to receive a fleeting, blurry, one-second visual vision of the last living creature that held or used it.","Time, Secrets, Knowledge, Souls"
Heroic Surge,II,Major Action,1 PotD,Immediately make one additional Attack Roll against a creature already within your weapon's range. This attack follows all normal combat rules and may trigger weapon effects. You may only use Heroic Surge once each turn.,"War, Valor, Strength, Time, Wrath, Zeal"
Divine Leap,II,Major Action,1 PotD,Leap up to 15 metres horizontally or 8 metres vertically without requiring a check. This movement ignores terrain and does not provoke attacks granted by entering weapon range. You suffer no falling damage from this leap. You can make an attack as part of this leap.,"Air, Sky, Travel, Freedom, Strength"
Healing Touch,II,Major Action,1 PotD,"Touch a creature and reduce one of its Wounds by one stage (Broken → Bloodied, Bloodied→ Bruised, Bruised → Healthy). A creature may only benefit once per short rest or take a level of fatigue","Healing, Mercy, Life, Renewal"
Protective Ward,II,Minor Action,1 PotD,One creature you can see gains +3 Defence Bonus until the beginning of your next turn. This stacks with armour and shields.,"Protection, Order, Law, Hearth"
Divine Smite,II,Free (On Hit),1 PotD,"After successfully hitting with a weapon attack, increase your result on the Damage Table by +4 before wounds are determined.","Wrath, Valor, War, Light, Vengeance, Sun"
Iron Flesh,II,Reaction,1 PotD,"When an attack hits and you would suffer wounds from the Damage Table, reduce the attack's margin by 3(min 1 wound) before applying wounds and effects.","Metal, Earth, Protection, Strength, Will"
Time Slip,II,Reaction,2 PotD,"Immediately move up to half your movement when targeted by an attack/area of effect. If this places you outside the weapon's range before the attack is resolved, the attack automatically misses.","Time, Travel, Freedom, Trickery"
Commanding Presence,II,Major Action,1 PotD,Choose one creature that can hear you. It must succeed on a Wisdom Saving Throw or immediately obey a simple one-word command that does not directly cause self-harm.,"Nobility, Law, Order, Civilization, Justice"
Shadow's Embrace,II,Major Action,1 PotD,"While in dim light or darkness, the shadows swallow you up. Until you attack or use another Major Action that draws attention, creatures have Disadvantage on Attack Rolls against you unless they possess supernatural sight.","Shadow, Darkness, Secrets, Moon, Twilight, Trickery"
Nature's Grasp,II,Major Action,1 PotD,Plants erupt in a 5 metre area. Creatures inside must succeed on a Strength or Dexterity Saving Throw or become Grappled. Escaping follows the normal Grapple rules.,"Nature, Growth, Wilderness, Earth, Creation"
Firestorm,II,Major Action,1 PotD,Choose a small area within sight. Every creature inside makes a Dexterity Saving Throw against your Ability DC. Failure resolves on the Damage Table.,"Fire, Destruction, Wrath, Ruin, Chaos"
Call Lightning,II,Major Action,1 PotD,Lightning strikes a visible creature or location. Resolve using the Damage Table. Targets wearing heavy metal armour suffer Disadvantage on the Saving Throw if one is allowed.,"Storms, Sky, Air, Destruction, Wrath"
Wall of Stone,II,Major Action,1 PotD,"Raise a stone wall roughly 10 metres long, 3 metres high and 30 cm thick. It counts as Total Cover until destroyed or the scene ends.","Earth, Creation, Protection, Craft, Civilization"
Speak with Spirits,II,Major Action,1 PotD,"Speak with a lingering soul for up to one minute. The spirit behaves as it would in life, perhaps with some deathly quirks","Death, Souls, Spirit, Knowledge, Secrets"
Dreamwalk,II,Major Action,2 PotD,"Enter the dreams of a sleeping creature you touch. You may converse, observe memories or leave symbolic messages. This causes no direct harm.","Dreams, Moon, Twilight, Secrets"
Blessing of Fortune,II,Major Action,2 PotD,"One ally that you touch gains the ability to reroll one ability check, saving throw or attack roll for the next 24 hours. Does not stack.","Fortune, Luck, Fate, Chaos"
Battle Cry,II,Major Action,2 PotD,Allies within 10 metres gain Advantage on all Attack Roll before your next turn.,"Glory, War, Zeal, Valor, Passion"
Swift Assault,II,Major Action,1 PotD,Move your full movement before and after making one Attack Roll. This movement ignores attacks granted by entering weapon ranges.,"War, Travel, Freedom, Air"
Hunter's Mark,II,Minor Action,1 PotD,"Mark one creature you can see. Until the end of the scene you always know its direction while on the same plane, and gain +2 to Attack Rolls against it.","Hunt, Wilderness, Beasts, Nature, Vengeance"
Purifying Light,II,Major Action,1 PotD,"End one curse, fear effect, magical silence/blindness or illusion affecting a creature you touch.","Light, Sun, Healing, Mercy, Order"
Tidal Wave,II,Major Action,1 PotD,Push every creature in a 15m line centered on you up to 10 metres in a parralel line(like a wave). Creatures failing a Strength Saving Throw are also Knocked Prone and dazed,"Water, Oceans, Storms, Strength, Destruction"
Chain of Judgment,II,Major Action,1 PotD,A creature that knowingly lies to you before the end of the scene immediately suffers one Bruised wound unless it succeeds on a Wisdom Saving Throw.,"Justice, Law, Order, Wisdom, Vengeance"
Plague Bearer,II,Minor Action,1 PotD,"Inflict supernatural sickness on a creature you touch. Until cured, the target has Disadvantage on Constitution Saving Throws and Medicine checks, and suffers from clearly looking sick.","Plague, Blood, Death, Ruin, Destruction"
